Unnamed: 0,French,English
1,histoire,history
3,seulement,only
4,police,police
5,pensais,thought
7,demande,request
8,genre,kind
14,aucun,no
15,laisse,leash
18,chaque,each
19,parlé,speak
22,bébé,baby
27,aucune,any
29,compris,understood
32,attention,Warning
33,voici,here is
34,pourrais,could
38,donné,given
40,corps,body
50,pouvoir,power
52,sois,be
56,enfant,child
58,venu,came
59,suite,after
60,pardon,sorry
62,devant,in front of
67,mis,placed
70,mari,husband
71,cause,cause
73,eau,water
74,attendez,Wait
78,dirait,would say
86,aura,will have
